batch_id,Class,Left,Right,x,y,logL/R
3,1,1038.3098,2028.3175,102,63,-0.66961247
3,8,3828.3137,4870.432,51,189,-0.24075828
3,6,4187.643,4929.098,153,126,-0.16301796
3,4,3598.169,4040.0159,51,126,-0.115823515
4,1,1561.298,4982.565,102,63,-1.1604273
4,6,4753.7217,5545.31,153,126,-0.15402475
4,3,2628.3647,4785.467,204,63,-0.59922177
4,4,4363.749,4631.1216,51,126,-0.059467554
4,5,1797.3687,4094.165,102,126,-0.8232391
4,9,1926.4196,4072.2512,102,189,-0.74853283
4,1,3295.5493,4503.678,102,63,-0.31232154
4,3,4424.745,6461.608,204,63,-0.37866548
4,3,2214.157,4392.647,204,63,-0.68506026
4,8,3741.5176,5232.0083,51,189,-0.3353039
4,5,3526.7412,5765.381,102,126,-0.49149695
4,4,3422.498,4537.753,51,126,-0.28206122
4,7,1829.0393,2657.3257,204,126,-0.37352934
4,7,3335.6,4005.9456,204,126,-0.18312708
4,4,2540.8901,3470.9648,51,126,-0.3119181
4,2,3901.5806,4348.216,153,63,-0.10838389
4,8,2407.4941,3702.914,51,189,-0.43053365
4,5,3206.4707,2994.7686,102,126,0.06830389
4,8,4535.541,4928.6274,51,189,-0.08311619
4,6,3892.4353,5381.208,153,126,-0.32387793
4,7,2526.2002,3355.063,204,126,-0.2837543
4,3,4548.467,6949.3413,204,63,-0.42385665
4,4,3484.2905,5178.0083,51,126,-0.39615604
4,6,3486.863,5260.957,153,126,-0.4113105
4,1,1564.7256,3209.008,102,63,-0.7182514
4,9,2431.9019,2852.0273,102,189,-0.15935652
4,9,2641.7922,4389.5845,102,189,-0.507777
4,6,3745.702,5886.761,153,126,-0.45209697
4,0,4239.506,4703.549,51,63,-0.10387054
4,3,3929.9846,6651.29,204,63,-0.5261754
4,7,2117.247,3028.8433,204,126,-0.35806412
4,2,4229.271,5731.879,153,63,-0.30401373
5,8,2419.055,4545.467,51,189,-0.6307535
5,2,5173.675,6806.2314,153,63,-0.2742553
5,9,2424.4707,4641.914,102,189,-0.6495136
5,4,3606.2983,4142.0273,51,126,-0.13850352
5,4,5165.0156,6735.6045,51,126,-0.26549944
5,6,4528.055,5761.177,153,126,-0.2408492
5,4,3213.7686,3654.2783,51,126,-0.12845434
5,9,3558.3726,4621.9883,102,189,-0.2615217
5,7,4467.0977,5572.114,204,126,-0.2210356
5,0,5673.894,6615.6787,51,63,-0.15356672
5,9,2526.0627,4574.0117,102,189,-0.5937288
5,2,4726.792,6555.808,153,63,-0.32710463
5,9,2833.459,5292.604,102,189,-0.6248121
5,5,2279.9648,2693.106,102,126,-0.16653512
5,1,741.93335,3113.4668,102,63,-1.4342327
5,5,2938.592,4469.1885,102,126,-0.4192763
5,9,1998.5842,4615.9536,102,189,-0.8370794
5,1,2435.0,4474.0747,102,63,-0.6083528
5,2,3295.4548,4178.7925,153,63,-0.2374781
5,3,4649.212,7260.016,204,63,-0.44568437
5,2,1253.7607,4113.353,153,63,-1.1880909
5,3,4374.965,7004.8594,204,63,-0.4707056
5,5,3473.169,5338.9688,102,126,-0.42996505
5,9,3506.2393,4422.325,102,189,-0.23212159
5,1,1352.2784,3115.7139,102,63,-0.8346674
5,7,4150.114,5284.2666,204,126,-0.24159807
5,6,3580.7412,3965.0552,153,126,-0.10194996
5,2,6117.329,6933.718,153,63,-0.12527055
5,8,4042.565,5094.6,51,189,-0.2313018
5,2,5160.8633,5623.7407,153,63,-0.08589319
5,2,3665.8318,5920.894,153,63,-0.4794322
5,5,2789.3804,2694.9294,102,126,0.034447465
6,0,4163.6313,6175.118,51,63,-0.39414042
6,7,3461.6943,5316.0474,204,126,-0.4289719
6,4,3863.9883,5609.6865,51,126,-0.37279493
6,9,2796.1804,4482.0703,102,189,-0.47183073
6,7,3115.7727,5989.028,204,126,-0.653452
6,8,3601.9766,4359.169,51,189,-0.19079871
6,3,3623.8157,5676.275,204,63,-0.4487677
6,2,3851.255,4963.279,153,63,-0.25366756
6,1,2014.4824,3733.4746,102,63,-0.61697704
6,1,2521.792,3542.988,102,63,-0.34000072
6,8,3691.9453,4812.471,51,189,-0.26505718
6,3,3851.3726,6708.5566,204,63,-0.55495423
6,6,3127.4941,4563.9375,153,126,-0.37795365
6,1,2673.961,3299.4941,102,63,-0.21020827
6,0,5542.502,6388.377,51,63,-0.14203423
6,3,3693.898,5724.035,204,63,-0.4379918
6,1,1425.2274,4532.412,102,63,-1.1569229
6,0,6172.5176,6523.137,51,63,-0.05524864
6,0,2546.9688,3027.251,51,63,-0.17275098
6,1,1792.0471,4249.0317,102,63,-0.8633325
6,7,1468.7609,3790.6118,204,126,-0.9481084
6,2,5194.565,7548.2153,153,63,-0.3736983
6,7,2521.2708,6501.282,204,126,-0.9472364
6,3,4240.565,6737.134,204,63,-0.46293807
6,0,4514.078,4468.2314,51,63,0.010208299
6,4,2337.9294,4323.9375,51,126,-0.61490077
6,6,3751.1924,4816.338,153,126,-0.24994007
6,5,4005.643,4693.2983,102,126,-0.15843144
6,2,5083.1494,6973.145,153,63,-0.31613532
6,6,5336.5723,6340.569,153,126,-0.17238493
6,4,5429.0625,7015.0664,51,126,-0.2562937
6,7,3551.8198,4771.8516,204,126,-0.29527435
7,1,3041.8352,5462.522,102,63,-0.5854496
7,8,4655.7256,6552.416,51,189,-0.34173608
7,9,2550.3215,4608.718,102,189,-0.59173024
7,9,2510.0981,4598.6436,102,189,-0.6054395
7,3,2825.7297,3136.9136,204,63,-0.104472764
7,0,5711.3574,6577.6787,51,63,-0.14122519
7,7,2524.0903,3576.3135,204,126,-0.34845173
7,1,2184.5725,3270.208,102,63,-0.4034334
7,0,2707.7568,2856.565,51,63,-0.05349929
7,2,4461.7725,5935.859,153,63,-0.28546566
7,0,4030.9688,4939.9297,51,63,-0.20334437
7,3,3372.5059,6773.89,204,63,-0.6974195
7,5,4289.5767,5480.549,102,126,-0.24501722
7,4,2486.1335,4521.6904,51,126,-0.59815717
7,6,3132.2942,4738.6113,153,126,-0.41397843
7,5,2977.11,4881.7886,102,126,-0.4945586
7,8,1804.0549,4319.8037,51,189,-0.87317306
7,6,4779.161,4802.455,153,126,-0.004862249
7,3,5039.3887,7356.738,204,63,-0.37833184
7,7,3674.012,4290.4434,204,126,-0.15510583
7,5,5886.3613,7485.306,102,126,-0.24030386
7,8,4416.0547,6232.761,51,189,-0.34457278
7,0,3799.6592,3968.396,51,63,-0.04345062
7,9,2555.9883,3594.0198,102,189,-0.34083235
7,1,1944.1138,4435.361,102,63,-0.82480276
7,0,5196.2197,6127.385,51,63,-0.16483663
7,3,3091.5605,5099.4077,204,63,-0.5004484
7,1,1688.4431,4776.4824,102,63,-1.0398974
7,2,3959.4395,5554.2827,153,63,-0.33846682
7,2,5814.114,6895.781,153,63,-0.17062141
7,3,2823.9333,4604.11,204,63,-0.48881862
7,3,4543.4277,6497.6675,204,63,-0.35776156
8,6,2337.4077,3500.702,153,126,-0.40392095
8,4,2899.608,4397.145,51,126,-0.41637996
8,7,1786.2273,3272.2432,204,126,-0.60537004
8,5,3463.1375,4339.467,102,126,-0.2255765
8,0,2398.349,2887.4434,51,63,-0.18559085
8,6,4016.3926,5337.0,153,126,-0.28427958
8,2,3052.3726,3729.6199,153,63,-0.20038714
8,7,3847.2158,4992.4863,204,126,-0.26058435
8,9,2604.9453,4119.0513,102,189,-0.45821115
8,8,5248.5806,6483.4077,51,189,-0.21128862
8,5,4186.3296,5327.5767,102,126,-0.24107212
8,9,2318.9255,4030.2314,102,189,-0.5527199
8,2,2940.9922,4087.2864,153,63,-0.3291343
8,1,1985.8706,3012.0354,102,63,-0.41655868
8,1,1083.9647,1621.2275,102,63,-0.4025582
8,4,2423.9255,4040.0237,51,126,-0.51086223
8,4,3567.7686,5261.475,51,126,-0.38847107
8,5,3211.2668,4375.345,102,126,-0.30931988
8,6,2694.9648,4275.275,153,126,-0.46146324
8,4,2534.0981,4607.883,51,126,-0.5979307
8,1,761.32544,2470.247,102,63,-1.1770126
8,2,5393.412,7559.753,153,63,-0.33766028
8,5,2563.808,5686.9688,102,126,-0.79668367
8,3,4014.1177,5608.823,204,63,-0.33452338
8,9,2306.4038,3581.773,102,189,-0.44016838
8,3,3454.9258,6844.196,204,63,-0.6836
8,9,2255.1333,3143.4277,102,189,-0.33210474
8,0,6847.008,7392.2275,51,63,-0.07661737
8,5,4512.714,4879.325,102,126,-0.0781082
8,9,2601.9375,3566.1846,102,189,-0.31523997
8,6,6060.451,8860.361,153,126,-0.37980327
8,5,2445.8235,3796.9688,102,126,-0.4398212
9,7,1731.145,4315.9453,204,126,-0.91353333
9,4,2122.5845,3806.443,51,126,-0.5840608
9,1,1823.4943,2852.2942,102,63,-0.44736907
9,3,3194.408,5328.3374,204,63,-0.5116375
9,4,2364.5605,4580.2983,51,126,-0.661172
9,0,7280.212,7727.777,51,63,-0.059661265
9,4,5454.953,6487.2197,51,126,-0.17331003
9,8,2998.6748,4999.451,51,189,-0.51115763
9,0,4427.3213,5662.6787,51,63,-0.2461023
9,4,2799.0708,4014.1726,51,126,-0.3605437
9,3,4598.6787,6518.0986,204,63,-0.34881368
9,6,5592.459,5673.9688,153,126,-0.014469737
9,8,2631.804,4532.071,51,189,-0.5435094
9,7,3274.6118,4028.7646,204,126,-0.20726046
9,6,3923.957,5520.224,153,126,-0.3413179
9,0,6158.3926,7883.498,51,63,-0.2469559
9,9,1316.6156,3300.094,102,189,-0.9188864
9,7,3447.145,3858.3296,204,126,-0.11268797
9,5,4154.5454,5576.4746,102,126,-0.29435378
9,7,2677.5293,3813.3608,204,126,-0.35361648
9,2,4750.855,6785.5566,153,63,-0.35647172
9,1,1934.8706,2613.5845,102,63,-0.30068222
9,1,462.0824,3093.9373,102,63,-1.9014565
9,6,4110.6626,4981.49,153,126,-0.19214486
9,8,4797.4155,5954.4785,51,189,-0.2160663
9,9,3204.0117,3600.2273,102,189,-0.1165933
9,4,2605.1218,3515.9453,51,126,-0.29982898
9,1,2084.8901,3708.9175,102,63,-0.5760239
9,5,2755.702,3277.9568,102,126,-0.17354809
9,2,4894.616,6524.341,153,63,-0.28740403
9,2,3288.0823,4143.9766,153,63,-0.23135139
9,9,3106.0352,4427.659,102,189,-0.35452402
10,0,4818.0396,6049.177,51,63,-0.22755505
10,3,3006.5295,5878.7256,204,63,-0.6705536
10,9,2381.8706,4348.0,102,189,-0.60182977
10,6,4501.835,5037.133,153,126,-0.112351984
10,7,2900.6785,5405.4707,204,126,-0.6224669
10,2,4947.0786,7628.424,153,63,-0.43308404
10,0,4294.671,4797.949,51,63,-0.11081365
10,3,3386.6982,5883.5923,204,63,-0.552312
10,5,5024.792,6444.243,102,126,-0.24880311
10,4,3271.2234,4834.9604,51,126,-0.3907089
10,3,3073.2861,5419.859,204,63,-0.5673223
10,6,3719.7021,4765.2236,153,126,-0.24770088
10,5,3222.3374,4182.078,102,126,-0.2607013
10,8,4707.4395,5944.039,51,189,-0.23324476
10,9,3317.8901,5181.537,102,189,-0.4457727
10,5,2789.6235,3304.6392,102,126,-0.16942061
10,4,2636.1213,3614.3728,51,126,-0.3156097
10,7,3992.7922,4698.1772,204,126,-0.16268384
10,4,2118.3452,3661.6511,51,126,-0.54727894
10,2,5008.3687,7099.6553,153,63,-0.34893593
10,7,2564.2825,4905.604,204,126,-0.6486996
10,3,3926.6787,7048.5884,204,63,-0.5850334
10,4,1661.6196,3641.4668,51,126,-0.78459376
10,8,3521.9531,5414.3057,51,189,-0.43002892
10,9,2423.6353,3671.4668,102,189,-0.4153227
10,1,2028.196,3672.1882,102,63,-0.593641
10,9,2921.004,4670.549,102,189,-0.46934924
10,2,4814.8193,6681.9727,153,63,-0.32771474
10,8,4180.7925,6895.502,51,189,-0.5003685
10,7,3478.9766,4646.1733,204,126,-0.28930575
10,9,2724.4788,4974.345,102,189,-0.6020166
10,1,2367.3608,4033.6826,102,63,-0.53290397
11,8,4957.1177,6449.9136,51,189,-0.26324224
11,7,2837.0237,4404.659,204,126,-0.43990737
11,4,2245.4116,3137.2236,51,126,-0.33444935
11,1,2857.6,3565.4707,102,63,-0.22131394
11,3,1936.6825,4405.106,204,63,-0.82178783
11,1,2391.5295,4559.2275,102,63,-0.64522004
11,1,1693.1216,2516.2705,102,63,-0.39620396
11,0,4741.7725,6206.6113,51,63,-0.26920402
11,2,4628.808,5489.843,153,63,-0.17060019
11,3,3514.3726,6652.3486,204,63,-0.6381089
11,9,2239.2354,4926.655,102,189,-0.78852576
11,4,2727.5728,3521.0667,51,126,-0.25535184
11,9,2191.0393,3193.0195,102,189,-0.37659106
11,2,4622.91,6379.894,153,63,-0.32212707
11,1,1242.1765,2546.4746,102,63,-0.7178448
11,6,4721.2354,5242.8125,153,126,-0.10478757
11,8,3012.1333,4190.0664,51,189,-0.33006805
11,4,2701.651,4234.396,51,126,-0.44937766
11,7,1696.8118,4094.6904,204,126,-0.88094
11,7,3667.31,5145.9526,204,126,-0.33875206
11,4,2207.2747,3690.0981,51,126,-0.51389444
11,4,2763.7097,3616.8237,51,126,-0.26902235
11,9,4169.7334,5658.604,102,189,-0.30532512
11,2,4902.6313,7615.329,153,63,-0.4403911
11,5,2669.5962,4130.886,102,126,-0.43656477
11,7,4344.212,5404.157,204,126,-0.21832414
11,2,4626.443,5636.094,153,63,-0.19740304
11,4,2555.957,3258.098,51,126,-0.24271683
11,4,4216.6904,5209.808,51,126,-0.21149243
11,2,4841.9414,6809.063,153,63,-0.3409388
11,1,2449.055,3629.2627,102,63,-0.3933273
11,9,3512.7256,4667.106,102,189,-0.28414693
12,7,2228.3257,4486.9805,204,126,-0.6999295
12,2,6407.828,8197.0625,153,63,-0.24625547
12,8,4288.7256,6144.337,51,189,-0.3595412
12,7,3182.957,4195.8784,204,126,-0.27629206
12,6,1550.4902,2711.3804,153,126,-0.5588867
12,9,2755.3413,4562.212,102,189,-0.5042663
12,2,3937.2236,5455.1055,153,63,-0.3260761
12,2,4089.3843,7411.318,153,63,-0.5946139
12,3,3900.4355,5501.6353,204,63,-0.3439571
12,8,4656.671,5093.2275,51,189,-0.08961091
12,1,2434.7295,2633.7214,102,63,-0.0785622
12,6,4183.357,5167.3843,153,126,-0.21125261
12,5,2355.4277,3256.2,102,126,-0.32383853
12,1,2251.5881,3138.4,102,63,-0.33207723
12,1,650.6549,3120.4668,102,63,-1.5677586
12,0,6534.9136,8394.35,51,63,-0.25039965
12,2,4667.137,5807.275,153,63,-0.2185656
12,6,2638.753,4464.2666,153,126,-0.52579856
12,4,2518.1765,3897.7725,51,126,-0.43687022
12,5,3221.5532,4187.886,102,126,-0.26233247
12,8,4127.5293,5540.51,51,189,-0.29440755
12,3,2896.812,6238.918,204,63,-0.76719594
12,1,1583.0078,3594.5962,102,63,-0.82010496
12,5,2993.3845,3978.8826,102,126,-0.2845963
12,1,877.8157,2855.549,102,63,-1.1795828
12,9,3290.0588,4196.989,102,189,-0.24346185
12,2,4097.526,5414.2314,153,63,-0.2786476
12,7,3465.643,4031.4316,204,126,-0.15122335
12,4,1380.0156,2433.7998,51,126,-0.5673589
12,4,2392.6902,3367.6394,51,126,-0.34179372
12,4,3282.7412,5417.3374,51,126,-0.50092566
12,8,4715.4277,5850.055,51,189,-0.2156115
13,1,1866.4863,4367.431,102,63,-0.8501173
13,5,1858.651,3246.0273,102,126,-0.5575809
13,8,1345.4276,1978.6982,51,189,-0.38572726
13,9,3010.0195,4343.145,102,189,-0.36665216
13,5,2434.918,3677.1372,102,126,-0.41222146
13,6,4161.059,5803.6943,153,126,-0.33272508
13,7,1719.2942,3207.7256,204,126,-0.62364835
13,9,2992.5884,3925.7961,102,189,-0.2714305
13,9,4412.196,6149.749,102,189,-0.3320388
13,3,3104.4236,5690.173,204,63,-0.60591257
13,7,4052.4473,7987.4824,204,126,-0.6785547
13,0,7768.961,8434.052,51,63,-0.08214083
13,9,2606.7256,4771.823,102,189,-0.6046336
13,0,6700.7563,7659.2236,51,63,-0.1336902
13,6,2941.808,3420.7727,153,126,-0.15084207
13,6,3825.6592,5270.5063,153,126,-0.32039565
13,2,2914.6863,4313.5845,153,63,-0.39200705
13,3,3613.4119,5319.6865,204,63,-0.3867619
13,9,2136.7178,3584.1257,102,189,-0.5172437
13,0,5501.522,6500.51,51,63,-0.1668558
13,7,1543.7295,3002.6392,204,126,-0.66529036
13,5,2456.0864,3682.408,102,126,-0.40499768
13,4,3639.0862,5807.071,51,126,-0.46734366
13,8,3621.7769,5742.7964,51,189,-0.4609815
13,0,7187.792,7213.87,51,63,-0.0036215717
13,9,2250.2393,3827.1377,102,189,-0.53108066
13,4,2552.7256,3294.71,51,126,-0.2551565
13,1,2048.204,3300.8667,102,63,-0.47722176
13,2,1832.4313,3263.0903,153,63,-0.5770311
13,8,4377.208,6004.5845,51,189,-0.31611216
13,7,3060.0393,4284.192,204,126,-0.33650416
13,1,2418.4038,3145.3293,102,63,-0.2628109
14,2,3787.2432,6258.753,153,63,-0.5023426
14,6,3818.5256,5686.9927,153,126,-0.39831722
14,1,1538.5883,3478.0356,102,63,-0.81560236
14,0,5599.7686,6530.5415,51,63,-0.15376459
14,3,4513.945,5957.11,204,63,-0.277414
14,0,4830.028,5541.4863,51,63,-0.13741055
14,1,318.71765,2703.8943,102,63,-2.1381428
14,1,2171.9883,3177.698,102,63,-0.3805141
14,8,3001.6667,3325.0552,51,189,-0.102318585
14,2,3613.6196,5594.596,153,63,-0.4370912
14,0,6992.463,6640.51,51,63,0.051644113
14,3,3280.4119,5298.612,204,63,-0.4794759
14,9,2826.3257,4086.8118,102,189,-0.36878765
14,4,3596.2395,4442.6904,51,126,-0.21137145
14,0,7006.616,7521.6704,51,63,-0.07093335
14,5,2384.4626,2556.1375,102,126,-0.06952351
14,0,6595.1416,7382.832,51,63,-0.11282407
14,6,4368.6,6069.8154,153,126,-0.32888556
14,1,1079.4431,2186.0864,102,63,-0.7056677
14,7,3733.2275,5377.5845,204,126,-0.3649661
14,7,2057.859,2917.6746,204,126,-0.34912083
14,8,4792.1016,5655.831,51,189,-0.16571797
14,1,2275.7961,2378.3452,102,63,-0.04407501
14,9,3244.5337,4783.7764,102,189,-0.38825864
14,2,2125.8901,2896.4392,153,63,-0.30929154
14,0,5387.71,5784.663,51,63,-0.07108968
14,5,3191.2275,4333.9688,102,126,-0.30607805
14,1,2003.5022,2647.8943,102,63,-0.278868
14,2,2795.1492,3202.4275,153,63,-0.13602366
14,2,4384.8784,5743.424,153,63,-0.26989365
14,7,3557.149,5462.926,204,126,-0.42902514
14,3,3660.208,5911.714,204,63,-0.47941583
15,5,5027.385,5813.4194,102,126,-0.14526904
15,4,3665.9807,3480.3452,51,126,0.051964443
15,9,2122.2744,4479.8237,102,189,-0.74709535
15,7,3863.2236,5190.1094,204,126,-0.2952528
15,1,488.1098,2999.6157,102,63,-1.8156991
15,8,4861.8237,4564.8037,51,189,0.063038096
15,3,4313.883,5069.498,204,63,-0.16140345
15,9,3298.6628,3612.3452,102,189,-0.09084003
15,6,3967.3374,5939.863,153,126,-0.4035908
15,0,4148.89,4241.424,51,63,-0.022058174
15,3,3667.608,6116.659,204,63,-0.5114764
15,1,2414.706,2878.8984,102,63,-0.17583016
15,1,2832.5256,3858.6,102,63,-0.3091357
15,2,3807.1729,4829.1606,153,63,-0.23778577
15,6,5042.11,4970.1333,153,126,0.014377924
15,3,4685.0747,7391.145,204,63,-0.45590076
15,5,3771.545,4866.369,102,126,-0.25486335
15,7,2508.8315,4269.255,204,126,-0.53162223
15,6,2447.8237,3546.051,153,126,-0.37063524
15,8,3897.3845,5173.3486,51,189,-0.28321448
15,3,2160.0195,3732.3486,204,63,-0.54692036
15,9,2889.0354,3314.6511,102,189,-0.1374297
15,5,2115.6982,2335.6746,102,126,-0.09891584
15,8,3376.4395,4178.7607,51,189,-0.21319297
15,5,5785.9414,6148.251,102,126,-0.060736593
15,7,3192.7844,4878.5576,204,126,-0.4239562
15,6,4023.4473,4657.914,153,126,-0.14642866
15,1,2351.7646,3130.7412,102,63,-0.28610379
15,1,2312.6943,3175.3804,102,63,-0.3170142
15,3,4442.8203,5551.1533,204,63,-0.22271633
15,1,1836.804,2230.761,102,63,-0.19431567
15,7,3228.8433,3936.216,204,126,-0.19809593
16,5,4851.1216,5336.502,102,126,-0.09536044
16,5,3031.6628,3416.7217,102,126,-0.11957024
16,5,2421.6785,3038.447,102,126,-0.22688566
16,2,5099.028,6755.89,153,63,-0.28136483
16,5,4373.675,4637.8154,102,126,-0.058639865
16,8,3850.698,5740.7373,51,189,-0.39933327
16,7,2580.161,3651.0078,204,126,-0.34715152
16,0,6008.1377,7325.5645,51,63,-0.19825536
16,9,3230.4512,5776.0864,102,189,-0.5811045
16,7,4605.866,5791.989,204,126,-0.22914499
16,7,3370.9375,5492.816,204,126,-0.4882502
16,5,2261.906,2822.765,102,126,-0.22150902
16,0,5104.929,5277.561,51,63,-0.033257503
16,9,3907.3062,4361.734,102,189,-0.11002148
16,0,7047.329,7122.4434,51,63,-0.010602153
16,0,3848.004,4484.2354,51,63,-0.15301345
16,8,6412.1294,8018.6753,51,189,-0.2235818
16,9,3722.7805,4327.675,102,189,-0.15055954
16,2,3264.2195,4043.7178,153,63,-0.21414384
16,4,3229.2747,3378.6824,51,126,-0.045228235
